Artikelnummer,Beschreibung,Farbe,EAN,VPE,Status
420612,PolyTarp® 650  -  6 x 12 m,grün,4250574100439,1 Stück pro Ballen,1
420810,PolyTarp® 650  -  8 x 10 m,grün,4250574100446,1 Stück pro Ballen,1
420812,PolyTarp® 650  -  8 x 12 m,grün,4250574100453,1 Stück pro Ballen,1
421012,PolyTarp® 650  -  10 x 12 m,grün,4250574100460,1 Stück pro Ballen,1
421506,"PolyTarp® 650  -  1,5 x 6 m",grün,4250574100477,5 Stück pro Ballen,1
421510,"PolyTarp® 650  -  1,5 x 10 m",grün,4250574100484,2 Stück pro Ballen,1
421520,"PolyTarp® 650  -  1,5 x 20 m",grün,4250574100491,1 Stück pro Ballen,1
421550,"PolyTarp® 650  -  1,5 x 50 m",grün,Unknown,1 Stück pro Ballen,1
422506,"PolyTarp® 650  -  2,5 x 6 m",grün,4250574101740,3 Stück pro Ballen,1
422535,"PolyTarp® 650  -  2,5 x 3,5 m",grün,4250574100521,5 Stück pro Ballen,1
422545,"PolyTarp® 650  -  2,5 x 4,5 m",grün,4250574100538,4 Stück pro Ballen,1
423505,"PolyTarp® 650  - 3,5 x 5 m",grün,4250574102587,2 Stück pro Ballen,1
423506,"PolyTarp® 650  - 3,5 x 6 m",grün,4250574100545,2 Stück pro Ballen,2
423507,"PolyTarp® 650  - 3,5 x 7 m",grün,4250574100552,1 Stück pro Ballen,1
423508,"PolyTarp® 650  - 3,5 x 8 m",grün,4250574100569,1 Stück pro Ballen,2
430200,PolyTarp® 210 -  2m rund,grün,4250574127504,20 Stück pro Karton,1
430203,PolyTarp® 210  -  2 x 3 m,grün,4250574100583,22 Stück pro Karton,1
430300,PolyTarp® 210  -  3m rund,grün,4250574102600,20 Stück pro Karton,1
430304,PolyTarp® 210  -  3 x 4 m,grün,4250574100590,11 Stück pro Karton,1
430305,PolyTarp® 210  -  3 x 5 m,grün,4250574100606,8 Stück pro Karton,1
